Normal,about:home
Whatsapp,https://web.whatsapp.com
YouTube,https://youtube.com
LinkedIn,https://linkedin.com
GitHub,https://github.com/ShivangSrivastava
GitHub Repo,https://github.com/ShivangSrivastava?tab=repositories
Youtube Music,https://music.youtube.com
GMail,https://mail.google.com
Google Docs,https://docs.google.com/document/u/0/
Google Sheets,https://docs.google.com/spreadsheets/u/0/
Telegram,https://web.telegram.org/a/
Leetcode,https://leetcode.com/u/ShivangSrivastava/
Codechef,https://www.codechef.com/users/shivangsrivast
GeeksForGeeks,https://www.geeksforgeeks.org/user/shivangsriv8cuh/
takeuforward,https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/
